h n1 d n2 e err
853.000000 1.000000 0.168420 14.000000 6.000000 0.168950
643.000000 7.000000 0.007530 21.000000 13.000000 0.169250
572.000000 4.000000 0.171844 26.000000 12.000000 0.169400
506.000000 6.000000 0.085366 10.000000 9.000000 0.169500
543.000000 7.000000 0.185262 34.000000 10.000000 0.170250
539.000000 7.000000 0.148800 3.000000 14.000000 0.170500
834.000000 6.000000 0.129315 12.000000 1.000000 0.170850
471.000000 5.000000 0.083805 30.000000 8.000000 0.171100
701.000000 6.000000 0.261272 32.000000 12.000000 0.171150
539.000000 2.000000 0.219228 2.000000 4.000000 0.171300
551.000000 6.000000 0.088934 24.000000 7.000000 0.171400
756.000000 1.000000 0.194577 28.000000 7.000000 0.171600
471.000000 6.000000 0.002878 5.000000 9.000000 0.171700
479.000000 7.000000 0.007461 4.000000 11.000000 0.171950
735.000000 2.000000 0.269131 32.000000 14.000000 0.172250
823.000000 2.000000 0.336422 21.000000 16.000000 0.172500
526.000000 5.000000 0.276536 9.000000 8.000000 0.172550
479.000000 4.000000 0.196985 33.000000 5.000000 0.172800
526.000000 2.000000 0.082221 44.000000 14.000000 0.173050
582.000000 1.000000 0.105562 24.000000 8.000000 0.173250
712.000000 1.000000 0.163611 12.000000 13.000000 0.173300
526.000000 5.000000 0.178817 37.000000 6.000000 0.173300
559.000000 3.000000 0.077107 29.000000 12.000000 0.173650
532.000000 6.000000 0.091451 32.000000 8.000000 0.173750
684.000000 1.000000 0.221707 50.000000 10.000000 0.174050
554.000000 1.000000 0.146659 14.000000 7.000000 0.174150
467.000000 7.000000 0.018985 14.000000 5.000000 0.174650
451.000000 4.000000 0.274411 42.000000 9.000000 0.174950
500.000000 1.000000 0.022796 4.000000 11.000000 0.175100
458.000000 6.000000 0.158352 14.000000 8.000000 0.175150
592.000000 1.000000 0.157550 16.000000 11.000000 0.175200
508.000000 3.000000 0.070254 41.000000 13.000000 0.175350
434.000000 4.000000 0.096840 34.000000 6.000000 0.175550
452.000000 2.000000 0.108405 11.000000 7.000000 0.175700
417.000000 6.000000 0.093741 29.000000 6.000000 0.176750
478.000000 3.000000 0.133317 41.000000 13.000000 0.176850
525.000000 1.000000 0.104039 11.000000 6.000000 0.177350
502.000000 5.000000 0.012234 22.000000 14.000000 0.177800
615.000000 1.000000 0.252825 40.000000 7.000000 0.177900
419.000000 3.000000 0.228145 28.000000 7.000000 0.178450
462.000000 5.000000 0.081112 44.000000 15.000000 0.179000
437.000000 2.000000 0.176431 39.000000 12.000000 0.179350
490.000000 1.000000 0.197473 28.000000 5.000000 0.179450
442.000000 7.000000 0.136406 30.000000 12.000000 0.180300
341.000000 6.000000 0.161453 29.000000 4.000000 0.181800
403.000000 6.000000 0.022595 17.000000 8.000000 0.181900
411.000000 3.000000 0.222676 33.000000 7.000000 0.181950
422.000000 6.000000 0.287357 4.000000 10.000000 0.182550
453.000000 1.000000 0.206183 43.000000 11.000000 0.182900
408.000000 5.000000 0.040856 20.000000 12.000000 0.183100
352.000000 4.000000 0.257406 35.000000 7.000000 0.183200
962.000000 4.000000 0.346419 10.000000 1.000000 0.183350
330.000000 4.000000 0.261365 28.000000 8.000000 0.183450
343.000000 3.000000 0.209904 22.000000 7.000000 0.183500
338.000000 4.000000 0.255734 45.000000 13.000000 0.183700
410.000000 4.000000 0.086578 41.000000 12.000000 0.183750
396.000000 1.000000 0.048630 50.000000 13.000000 0.183950
542.000000 1.000000 0.294032 38.000000 4.000000 0.184100
349.000000 6.000000 0.065511 7.000000 12.000000 0.184500
333.000000 2.000000 0.049763 11.000000 11.000000 0.184850
